Date,Open,High,Low,Close,Adj Close,Volume
2022-03-01,113.476082,115.579834,110.730995,112.544044,112.544044,951568702
2022-03-02,112.540298,114.243759,109.672516,110.351357,110.351357,838169853
2022-03-03,110.356354,112.503716,108.962349,111.352119,111.352119,905649306
2022-03-04,111.412834,112.356232,100.207321,101.391800,101.391800,930473366
2022-03-05,101.408401,105.351410,100.218079,104.977188,104.977188,548783174
2022-03-06,104.980621,105.609085,101.545616,101.593918,101.593918,563304861
2022-03-07,101.595879,103.662041,97.236954,98.869263,98.869263,756482342
2022-03-08,98.861572,102.160332,98.499702,100.617645,100.617645,699527175
2022-03-09,100.621696,109.045860,100.621696,106.942093,106.942093,812074655
2022-03-10,106.934196,106.972275,100.669655,102.655510,102.655510,814685365
2022-03-11,102.649483,106.566574,100.503815,104.965355,104.965355,764305866
2022-03-12,104.964760,107.766373,104.807281,105.832397,105.832397,536251476
2022-03-13,105.812271,107.201889,101.904175,102.114799,102.114799,535011513
2022-03-14,102.111214,105.776672,101.501625,105.673653,105.673653,743010065
2022-03-15,105.665863,108.434235,102.769775,106.988571,106.988571,713675630
2022-03-16,106.976494,111.365395,106.008858,111.359192,111.359192,977477844
2022-03-17,111.350960,111.428703,108.869530,110.310234,110.310234,616556664
2022-03-18,110.303444,112.789764,108.480850,112.115868,112.115868,644181133
2022-03-19,112.087914,116.373268,111.797760,116.373268,116.373268,741516370
2022-03-20,116.356514,117.760002,111.930878,114.829140,114.829140,859708742
2022-03-21,114.834305,116.628212,113.742302,116.158730,116.158730,833192537
2022-03-22,116.150185,123.144989,115.766556,122.927963,122.927963,1124098345
2022-03-23,122.922516,124.093071,119.096939,122.475418,122.475418,872780593
2022-03-24,122.468063,127.293190,120.852119,126.581276,126.581276,1007870447
2022-03-25,126.582520,127.094101,122.376961,124.067368,124.067368,822120492
2022-03-26,124.071068,125.360939,122.287392,124.881332,124.881332,560151992
2022-03-27,124.889275,129.397476,123.675545,129.397476,129.397476,740569100
2022-03-28,129.400635,132.412476,127.852745,127.938614,127.938614,943699101
2022-03-29,127.911484,131.786041,127.729424,130.061234,130.061234,837905297
2022-03-30,130.054733,133.906784,127.102615,131.169342,131.169342,928949835
2022-03-31,131.166367,132.776428,122.522713,123.716011,123.716011,1352615724
2022-04-01,123.731697,125.966331,120.124832,124.883179,124.883179,854575075
2022-04-02,124.882378,128.095291,124.469177,124.923485,124.923485,761262628
2022-04-03,124.901810,129.305832,124.218536,128.946213,128.946213,676091829
2022-04-04,128.907089,128.907089,122.111961,124.861702,124.861702,849319392
2022-04-05,124.859909,127.073303,123.195732,123.213173,123.213173,662578353
2022-04-06,123.200035,123.248947,112.461334,112.461334,112.461334,1017954203
2022-04-07,112.471046,114.877831,111.465805,114.230194,114.230194,635873842
2022-04-08,114.238045,115.081619,110.618355,110.882065,110.882065,747638227
2022-04-09,110.878258,112.789642,110.571220,112.777275,112.777275,519806313
2022-04-10,112.778358,114.369270,111.173775,111.173775,111.173775,510044015
2022-04-11,111.153145,111.153145,102.597687,102.607391,102.607391,807193871
2022-04-12,102.643730,105.672188,102.251740,104.828415,104.828415,638546461
2022-04-13,104.824600,110.668587,104.244926,110.482452,110.482452,806829114
2022-04-14,110.479500,112.114479,106.390358,107.411041,107.411041,736401323
2022-04-15,107.414223,112.625504,107.396660,111.109344,111.109344,802528770
2022-04-16,111.105934,114.535652,110.541901,114.430710,114.430710,639352139
2022-04-17,114.404831,114.969009,108.763725,109.042786,109.042786,673093200
2022-04-18,109.035522,111.325768,105.704910,111.226143,111.226143,810603033
2022-04-19,111.229103,113.990005,110.827805,113.812088,113.812088,653731832
2022-04-20,113.815033,113.921585,111.043251,111.979691,111.979691,669392298
2022-04-21,111.975327,114.220154,106.301636,106.997986,106.997986,747220318
2022-04-22,106.996887,108.344902,105.546104,105.600624,105.600624,668097133
2022-04-23,105.602066,107.133324,105.316483,105.504372,105.504372,502713461
2022-04-24,105.492462,105.930840,104.106628,104.622604,104.622604,487505921
2022-04-25,104.620399,104.756683,99.510757,104.687019,104.687019,802054036
2022-04-26,104.671066,105.173195,97.590805,98.404678,98.404678,702800418
2022-04-27,98.413170,101.744102,98.223732,100.538757,100.538757,692599516
2022-04-28,100.542412,104.093697,100.009483,103.323349,103.323349,780434505
2022-04-29,103.318619,104.023216,99.038841,100.378006,100.378006,861249271
2022-04-30,100.378754,101.411224,95.947632,96.165985,96.165985,604900808
2022-05-01,96.167870,99.782799,95.484718,99.435776,99.435776,592413785
2022-05-02,99.433716,101.510681,98.605850,100.693230,100.693230,613922891
2022-05-03,100.697548,101.268745,97.839600,99.343018,99.343018,542363905
2022-05-04,99.338730,106.804092,99.265633,106.274864,106.274864,768693782
2022-05-05,106.270821,106.712799,95.528778,96.918915,96.918915,842334241
2022-05-06,96.909279,98.208733,94.089012,96.791756,96.791756,769940452
2022-05-07,96.794212,97.036308,93.347916,94.570900,94.570900,551811127
2022-05-08,94.571548,95.582298,92.002991,93.976433,93.976433,729348318
2022-05-09,93.975418,94.779556,77.957153,77.957153,77.957153,1207155617
2022-05-10,77.831169,84.617218,74.822350,80.226830,80.226830,1720920553
2022-05-11,80.211548,82.390930,65.524239,66.388802,66.388802,1899877236
2022-05-12,66.407776,69.257019,55.322548,64.402748,64.402748,1925404691
2022-05-13,64.383049,72.841606,63.494411,67.962540,67.962540,1140599762
2022-05-14,67.945610,69.999176,64.620659,68.950310,68.950310,743433183
2022-05-15,68.939713,71.530373,66.556671,71.530373,71.530373,741432120
2022-05-16,71.519737,71.519737,65.457672,67.211349,67.211349,722439504
2022-05-17,67.212189,73.510040,67.212189,72.969315,72.969315,802347484
2022-05-18,72.967667,74.037018,66.415634,66.415634,66.415634,756026173
2022-05-19,66.386711,72.204117,65.177986,72.096680,72.096680,801021670
2022-05-20,72.077171,72.906738,67.099205,68.658295,68.658295,729408177
2022-05-21,68.654564,70.429649,68.172340,69.705788,69.705788,449401029
2022-05-22,69.707268,72.303619,69.528656,71.774002,71.774002,449155414
2022-05-23,71.763947,73.742645,68.990349,69.012756,69.012756,736854342
2022-05-24,69.013824,70.535278,67.680138,70.321548,70.321548,588236113
2022-05-25,70.319221,71.436462,68.290421,68.313118,68.313118,529431480
2022-05-26,68.315109,68.712479,61.340752,63.828136,63.828136,721052783
2022-05-27,63.800579,63.928551,61.287403,61.563923,61.563923,646210455
2022-05-28,61.557880,62.686611,61.557880,62.313278,62.313278,615552947
2022-05-29,63.063595,64.265472,62.106644,63.746628,63.746628,418602793
2022-05-30,63.745800,69.296928,63.414074,69.120918,69.120918,587913790
2022-05-31,69.110268,69.562752,67.181343,68.411385,68.411385,532691935
2022-06-01,68.417023,70.076424,62.546368,62.967819,62.967819,754343388
2022-06-02,62.964443,64.610008,62.394325,64.451355,64.451355,497215110
2022-06-03,64.455803,64.762718,61.788277,62.659264,62.659264,445994255
2022-06-04,62.658833,64.205109,61.725307,63.747383,63.747383,365451394
2022-06-05,63.749756,63.780807,62.061108,63.207874,63.207874,358399957
2022-06-06,63.214748,66.294197,63.088215,64.417274,64.417274,500130108
2022-06-07,64.418068,65.326683,60.559193,63.905510,63.905510,578504158
2022-06-08,63.898411,64.253906,61.546677,61.546677,61.546677,590606981
2022-06-09,61.543854,62.288166,59.836327,60.215973,60.215973,461393198
2022-06-10,60.213543,60.213543,56.479984,56.658417,56.658417,631581518
2022-06-11,56.665623,57.678856,52.231976,52.291660,52.291660,735247033
2022-06-12,52.307575,52.590900,48.130508,48.228905,48.228905,674269221
2022-06-13,48.213318,48.213318,41.629677,43.300301,43.300301,1135771941
