Date,Open,High,Low,Close,Volume,Market Cap
2024-03-30,2024-03-31,108.1477,108.1477,101.3425,102.7858,3245515501.41115,7702039596.850174
2024-03-29,2024-03-30,94.0544,109.5182,93.2727,109.0566,2352148528.3426576,7473065959.979021
2024-03-28,2024-03-29,93.7032,96.2674,93.5498,94.1791,1697182620.534965,7061865236.727273
2024-03-27,2024-03-28,95.8174,97.6464,93.2949,93.5779,2566121964.8641114,7091615084.919861
2024-03-26,2024-03-27,90.3583,96.5762,87.8472,95.7451,1330676080.132404,6811871035.658537
2024-03-25,2024-03-26,89.4857,91.7637,88.7195,90.3666,1322459885.7038329,6698710714.038327
2024-03-24,2024-03-25,85.583,90.2427,85.5334,89.7326,1123877809.5296168,6552719776.815331
2024-03-23,2024-03-24,83.268,87.267,83.268,85.5316,1065434165.7595819,6355220594.348432
2024-03-22,2024-03-23,85.6106,86.1442,81.0302,83.2505,1094787852.3146853,6233479542.353147
2024-03-21,2024-03-22,84.4817,86.6993,84.0863,85.7453,1494962518.0383275,6350850561.599303
2024-03-20,2024-03-21,78.6025,85.1021,77.6856,84.7674,1751820060.5296168,6041949256.397213
2024-03-19,2024-03-20,87.1834,87.3888,77.5764,78.7459,1963289735.097561,6013507494.038327
2024-03-18,2024-03-19,85.6898,87.365,81.3148,87.2781,1036131073.3031359,6259899064.891986
2024-03-17,2024-03-18,84.6336,86.5595,81.7846,85.9441,1415830734.4947736,6350133044.668989
2024-03-16,2024-03-17,89.8762,90.5215,83.0595,84.041,1447668179.2334495,6541718042.306621
2024-03-15,2024-03-16,94.263,95.0912,84.3598,89.8166,2171797283.6293707,6621013051.685315
2024-03-14,2024-03-15,96.9678,97.6004,90.3534,94.0367,1503808090.1916375,7070857117.815331
2024-03-13,2024-03-14,97.2497,98.6782,94.9518,97.2814,1942189077.337979,7215992091.163763
2024-03-12,2024-03-13,103.9477,103.9477,93.7166,97.4061,3253497882.1533103,7295651976.944251
2024-03-11,2024-03-12,87.4711,105.5128,85.2802,103.7156,1997472168.4041812,7097483394.317073
2024-03-10,2024-03-11,90.6868,90.6868,86.0706,87.4418,1066904341.2752613,6578534733.222997
2024-03-09,2024-03-10,88.3191,90.8385,87.254,90.7922,1300862434.0766551,6601091818.940766
2024-03-08,2024-03-09,88.1638,89.1296,85.3966,88.4811,1436872675.8432057,6521178686.142858
2024-03-07,2024-03-08,85.8168,89.457,83.653,88.2029,1372649270.466899,6414605318.867596
2024-03-06,2024-03-07,81.9942,87.2548,80.1021,85.8221,2586439265.58885,6233120038.052265
2024-03-05,2024-03-06,88.8228,91.5646,78.0145,82.0668,2301214365.9333334,6491055066.8
2024-03-04,2024-03-05,90.6602,92.1033,88.0024,88.8038,1530015371.6655052,6687721010.770035
2024-03-03,2024-03-04,93.851,93.851,87.9949,90.6723,1956519628.6236935,6776592840.909408
2024-03-02,2024-03-03,84.7511,94.2123,84.5859,94.2123,1959458058.4703832,6711262476.97561
2024-03-01,2024-03-02,80.1002,85.6608,80.1002,85.0317,2048346907.15331,6234711642.644599
2024-02-29,2024-03-01,74.4367,84.2651,74.1954,79.8503,2373518158.0940766,6006592110.36237
2024-02-28,2024-02-29,73.9844,77.6198,72.2922,74.6745,1283957665.2020905,5537139499.170732
2024-02-27,2024-02-28,72.1204,76.1099,72.0416,74.0057,1362409364.9337978,5532751640.20209
2024-02-26,2024-02-27,70.0843,72.7973,69.285,71.9304,559702147.3031359,5237293719.700349
2024-02-25,2024-02-26,70.4817,70.5781,69.8414,70.1177,461273420.3554007,5207468375.296167
2024-02-24,2024-02-25,68.8506,70.6482,68.7882,70.4361,538250300.8885018,5187538350.916376
2024-02-23,2024-02-24,68.8396,69.0735,67.8713,68.9067,562337140.71777,5086715748.961673
2024-02-22,2024-02-23,68.8797,69.5955,68.0216,68.7995,585297839.9303136,5119155622.860627
2024-02-21,2024-02-22,69.6465,69.6465,67.595,68.9592,725510041.0174216,5087935505.132404
2024-02-20,2024-02-21,71.3518,71.3971,68.1876,69.6341,699674346.7351916,5207216859.428572
2024-02-19,2024-02-20,70.7861,71.67,70.7003,71.3482,543755062.1533101,5275720318.15331
2024-02-18,2024-02-19,70.0236,71.2449,69.9045,70.7456,508041972.1010453,5229567896.8013935
2024-02-17,2024-02-18,70.6678,70.717,68.4731,70.057,587485612.9581882,5194123815.536586
2024-02-16,2024-02-17,69.7755,70.9267,69.2264,70.6089,733253056.933798,5206381301.707317
2024-02-15,2024-02-16,69.8817,70.8403,69.2492,69.7635,856294122.2090592,5195391971.15331
2024-02-14,2024-02-15,69.0466,70.7127,68.6318,69.8442,990812190.6829268,5163058283.059234
2024-02-13,2024-02-14,72.9017,73.1102,68.4257,69.0906,739811034.4146341,5263328680.268292
2024-02-12,2024-02-13,71.5389,73.3307,70.5369,72.9321,541061181.912892,5317329375.508711
2024-02-11,2024-02-12,70.8025,72.8783,70.7306,71.5729,591228467.087108,5338423408.989547
2024-02-10,2024-02-11,70.7269,71.1925,70.1685,70.8325,562244797.728223,5242356407.61324
2024-02-09,2024-02-10,70.601,71.8538,70.3452,70.6762,760191795.8675958,5257383808.749129
2024-02-08,2024-02-09,68.6521,70.5174,68.4772,70.5174,474919769.5923345,5109670119.522648
2024-02-07,2024-02-08,68.3513,68.7576,67.824,68.6002,402012011.14634144,5057833471.888502
2024-02-06,2024-02-07,67.6191,68.7267,67.6168,68.3298,377896485.4878049,5046046022.763066
2024-02-05,2024-02-06,66.8998,68.1897,66.7324,67.6627,381295194.22996515,5009070242.752613
2024-02-04,2024-02-05,68.8435,68.8536,66.7176,66.9436,374652388.1080139,5030025791.320558
2024-02-03,2024-02-04,67.9868,69.0847,67.9592,68.8557,340998231.0801394,5067945622.665505
2024-02-02,2024-02-03,67.4045,68.3332,67.4045,68.0189,395050826.24390244,5033298745.738676
2024-02-01,2024-02-02,66.8449,68.0753,65.8521,67.5179,553618776.8850174,4952436929.243902
2024-01-31,2024-02-01,67.624,69.6589,66.286,66.7707,565715288.010453,5031316142.867596
2024-01-30,2024-01-31,68.3263,68.6076,67.3708,67.4908,488710420.23344946,5056870892.867596
2024-01-29,2024-01-30,68.2289,68.6614,66.9625,68.4811,486704674.5400697,5034621775.038327
2024-01-28,2024-01-29,68.0124,68.4421,67.4318,68.4066,422567078.533101,5037694390.790941
2024-01-27,2024-01-28,67.0122,68.2906,66.4353,68.0836,440100744.5470383,4990475850.811847
2024-01-26,2024-01-27,65.4712,67.4939,65.3359,66.9827,436374292.5052265,4921811419.142858
2024-01-25,2024-01-26,66.0941,66.0941,64.7084,65.5715,443878715.1149826,4858367467.689896
2024-01-24,2024-01-25,65.409,66.3208,64.9134,66.2617,664652252.0905924,4855361692.853659
2024-01-23,2024-01-24,67.4616,68.3502,63.4049,65.4848,844662035.1358885,4888161066.393728
2024-01-22,2024-01-23,72.1037,72.491,67.0662,67.2615,785811975.4425087,5173873518.724739
2024-01-21,2024-01-22,71.3965,72.0971,70.6314,71.6758,554137488.020906,5280651195.850174
2024-01-20,2024-01-21,71.3255,72.6855,70.6167,71.334,924839323.4390244,5287538589.498258
2024-01-19,2024-01-20,68.3295,71.4469,67.2657,71.1769,908420209.7073171,5130257040.146341
2024-01-18,2024-01-19,69.4678,70.2378,66.7935,68.0084,604101491.5226481,5114248092.526133
2024-01-17,2024-01-18,69.4467,69.8381,68.639,69.3863,602098144.6933798,5135596397.84669
2024-01-16,2024-01-17,69.2697,70.2703,68.6627,69.4838,570087258.2125436,5163339008.961673
2024-01-15,2024-01-16,70.1827,71.545,69.2005,69.349,624447441.1881533,5225839669.693379
2024-01-14,2024-01-15,72.066,72.2281,69.7191,69.7191,594509750.1986063,5295239442.578397
2024-01-13,2024-01-14,73.0368,73.4372,71.0695,71.9619,1394627891.358885,5329029499.996515
2024-01-12,2024-01-13,71.8318,76.6624,70.6788,72.7815,1399862980.2264807,5448831584.947735
2024-01-11,2024-01-12,69.9295,74.3221,69.7652,71.8961,1224801011.2334495,5295032264.777003
2024-01-10,2024-01-11,66.9505,70.9701,65.6479,69.8046,918721116.3275261,4993017229.731708
2024-01-09,2024-01-10,67.6861,67.766,64.9638,66.9571,834094106.4181185,4908816567.174216
2024-01-08,2024-01-09,64.4857,68.3253,61.6262,67.7532,823792634.1533101,4822939918.818815
2024-01-07,2024-01-08,65.7292,66.3386,64.0278,64.3131,472240863.9337979,4852688326.205575
2024-01-06,2024-01-07,66.0977,66.0977,63.7013,65.7094,675392247.2961673,4836829554.874564
2024-01-05,2024-01-06,66.4504,66.7634,64.6634,65.988,779344877.1811846,4858008326.658537
2024-01-04,2024-01-05,65.1973,66.9252,64.7264,66.5283,1150452481.4146342,4870679075.560976
2024-01-03,2024-01-04,73.1054,73.6128,62.7565,65.2575,984313268.5331011,5129567954.278746
2024-01-02,2024-01-03,74.6561,75.6647,72.7158,73.0339,608138434.3658537,5501750069.41115
2024-01-01,2024-01-02,72.9837,74.7011,72.204,74.7011,531428219.9303136,5437036964.655052
2023-12-31,2024-01-01,73.2181,74.1498,72.4332,72.7829,524339282.6062718,5442726583.982578
2023-12-30,2023-12-31,73.1514,73.9638,72.5529,73.3006,804270938.3867596,5428459597.219512
2023-12-29,2023-12-30,76.7488,77.5994,73.1745,73.2147,1155988497.5261323,5609215398.878049
